instrument,mid_volatility,expiry,strike,call_put,spot,DatVal,Maturity
BTC-1JUL22-15000-C,178.53,2022-07-01,15000.0,1,20063.9,06/29/2022,2 days
BTC-1JUL22-15000-P,178.53,2022-07-01,15000.0,-1,20063.9,06/29/2022,2 days
BTC-1JUL22-18000-C,106.68,2022-07-01,18000.0,1,20063.83,06/29/2022,2 days
BTC-1JUL22-18000-P,106.68,2022-07-01,18000.0,-1,20064.15,06/29/2022,2 days
BTC-1JUL22-20000-C,77.29,2022-07-01,20000.0,1,20063.83,06/29/2022,2 days
BTC-1JUL22-20000-P,77.29,2022-07-01,20000.0,-1,20064.15,06/29/2022,2 days
BTC-1JUL22-22000-C,76.1,2022-07-01,22000.0,1,20063.83,06/29/2022,2 days
BTC-1JUL22-22000-P,76.1,2022-07-01,22000.0,-1,20063.83,06/29/2022,2 days
BTC-1JUL22-24000-C,118.52,2022-07-01,24000.0,1,20063.83,06/29/2022,2 days
BTC-1JUL22-24000-P,118.52,2022-07-01,24000.0,-1,20063.83,06/29/2022,2 days
BTC-1JUL22-25000-C,121.64,2022-07-01,25000.0,1,20063.83,06/29/2022,2 days
BTC-1JUL22-25000-P,121.64,2022-07-01,25000.0,-1,20063.83,06/29/2022,2 days
BTC-1JUL22-26000-C,122.17,2022-07-01,26000.0,1,20063.98,06/29/2022,2 days
BTC-1JUL22-26000-P,122.17,2022-07-01,26000.0,-1,20063.72,06/29/2022,2 days
BTC-1JUL22-28000-C,122.17,2022-07-01,28000.0,1,20063.98,06/29/2022,2 days
BTC-1JUL22-28000-P,122.17,2022-07-01,28000.0,-1,20063.72,06/29/2022,2 days
BTC-1JUL22-30000-C,122.17,2022-07-01,30000.0,1,20063.72,06/29/2022,2 days
BTC-1JUL22-30000-P,122.17,2022-07-01,30000.0,-1,20063.98,06/29/2022,2 days
BTC-1JUL22-32000-C,134.91,2022-07-01,32000.0,1,20063.72,06/29/2022,2 days
BTC-1JUL22-32000-P,134.91,2022-07-01,32000.0,-1,20063.72,06/29/2022,2 days
BTC-1JUL22-35000-C,169.34,2022-07-01,35000.0,1,20064.27,06/29/2022,2 days
BTC-1JUL22-35000-P,169.34,2022-07-01,35000.0,-1,20064.27,06/29/2022,2 days
BTC-1JUL22-40000-C,169.41,2022-07-01,40000.0,1,20063.64,06/29/2022,2 days
BTC-1JUL22-40000-P,169.41,2022-07-01,40000.0,-1,20063.64,06/29/2022,2 days
