instrument,mid_volatility,expiry,strike,call_put,spot,DatVal,Maturity
ETH-1JUL22-900-C,153.84,2022-07-01,900.0,1,1129.73,06/29/2022,2 days
ETH-1JUL22-900-P,153.84,2022-07-01,900.0,-1,1129.73,06/29/2022,2 days
ETH-1JUL22-1000-C,153.84,2022-07-01,1000.0,1,1129.73,06/29/2022,2 days
ETH-1JUL22-1000-P,153.84,2022-07-01,1000.0,-1,1129.71,06/29/2022,2 days
ETH-1JUL22-1100-C,114.69,2022-07-01,1100.0,1,1129.73,06/29/2022,2 days
ETH-1JUL22-1100-P,114.69,2022-07-01,1100.0,-1,1129.7,06/29/2022,2 days
ETH-1JUL22-1200-C,102.68,2022-07-01,1200.0,1,1129.73,06/29/2022,2 days
ETH-1JUL22-1200-P,102.68,2022-07-01,1200.0,-1,1129.73,06/29/2022,2 days
ETH-1JUL22-1300-C,111.44,2022-07-01,1300.0,1,1129.73,06/29/2022,2 days
ETH-1JUL22-1300-P,111.44,2022-07-01,1300.0,-1,1129.7,06/29/2022,2 days
ETH-1JUL22-1400-C,202.64,2022-07-01,1400.0,1,1129.7,06/29/2022,2 days
ETH-1JUL22-1400-P,202.64,2022-07-01,1400.0,-1,1129.7,06/29/2022,2 days
ETH-1JUL22-1500-C,202.64,2022-07-01,1500.0,1,1129.7,06/29/2022,2 days
ETH-1JUL22-1500-P,202.63,2022-07-01,1500.0,-1,1129.7,06/29/2022,2 days
ETH-1JUL22-1600-C,202.63,2022-07-01,1600.0,1,1129.7,06/29/2022,2 days
ETH-1JUL22-1600-P,202.63,2022-07-01,1600.0,-1,1129.69,06/29/2022,2 days
ETH-1JUL22-1700-C,202.63,2022-07-01,1700.0,1,1129.7,06/29/2022,2 days
ETH-1JUL22-1700-P,202.63,2022-07-01,1700.0,-1,1129.69,06/29/2022,2 days
ETH-1JUL22-1800-C,202.63,2022-07-01,1800.0,1,1129.69,06/29/2022,2 days
ETH-1JUL22-1800-P,202.63,2022-07-01,1800.0,-1,1129.7,06/29/2022,2 days
ETH-1JUL22-1900-C,202.63,2022-07-01,1900.0,1,1129.7,06/29/2022,2 days
ETH-1JUL22-1900-P,202.63,2022-07-01,1900.0,-1,1129.69,06/29/2022,2 days
ETH-1JUL22-2000-C,210.8,2022-07-01,2000.0,1,1129.68,06/29/2022,2 days
ETH-1JUL22-2000-P,210.8,2022-07-01,2000.0,-1,1129.68,06/29/2022,2 days
